filepath,true_label,total_steps,final_prediction,final_confidence,final_reasoning,status,predicted_at_steps,final_api_time,num_api_calls,energy_of_predicted_steps,energy_of_total_steps
vasp-data-files/100000001110011101010111/OSZICAR,1,78,0,7,"rms(c) stagnates at ~0.0124-0.0126 in final steps with no decreasing trend, indicating divergence despite some dE oscillation damping",Kill,50,4.521027803,1,,
vasp-data-files/100011110011111010100110/OSZICAR,1,144,0,7,"rms(c) stagnates around 0.2-0.3 after step 60 and shows no clear downward macro-trend in final 40 steps, indicating divergence despite some dE oscillations",Kill,100,12.24398041,3,,
vasp-data-files/101100000101010001101100/OSZICAR,1,142,0,7,"rms(c) oscillates between 0.9-1.06 without clear downward trend after step 30, indicating stagnation per Expert Tie-Breaker Rule",Kill,50,3.596699953,1,,
vasp-data-files/110101000101000011111110/OSZICAR,1,149,0,8,"rms(c) shows no decreasing macro-trend, stagnating around 1.2-1.5 after initial drop, with dE oscillations indicating divergence according to Expert Tie-Breaker Rule",Kill,50,3.596682072,1,,
vasp-data-files/110000011100011000001011/OSZICAR,1,131,0,7,"rms(c) stagnates around 0.35 after step 33 showing no clear downward macro-trend despite dE oscillations, indicating divergence per Expert Tie-Breaker Rule",Kill,50,3.908163071,1,,
vasp-data-files/101000001110001111010111/OSZICAR,1,125,0,7,"rms(c) stagnates around 0.35-0.40 after step 33 showing no clear downward macro-trend despite dE oscillations, indicating divergence per Expert Tie-Breaker Rule",Kill,50,4.209794998,1,,
vasp-data-files/101010010101111010100110/OSZICAR,1,171,0,8,"rms(c) shows no clear downward trend, stagnating around 11-20 with no sustained decrease, indicating divergence according to Expert Tie-Breaker Rule",Kill,50,3.593770504,1,,
vasp-data-files/101110000101110011000100/OSZICAR,1,186,0,8,"rms(c) stagnates around 22.0-23.4 with no decreasing trend after step 12, and dE shows persistent oscillations without convergence",Kill,50,3.288573265,1,,
vasp-data-files/110111100001000100111111/OSZICAR,1,160,0,7,"rms(c) stagnates around 0.3-0.4 after step 40 with no clear downward trend, and dE oscillations persist without damping significantly",Kill,75,13.04532647,2,,
vasp-data-files/111010101111100011110111/OSZICAR,1,119,0,7,"rms(c) stagnates around 0.35-0.42 after step 40 with no clear downward trend, and dE remains oscillatory without significant reduction, indicating divergence according to tie-breaker rule",Kill,50,4.207871437,1,,
vasp-data-files/110101101100011001010011/OSZICAR,1,156,0,7,"rms(c) shows no consistent downward trend, stagnating and even increasing from 0.275E+00 to 0.657E+00 in final steps, indicating divergence according to Expert Tie-Breaker Rule",Kill,50,4.20846796,1,,
vasp-data-files/110110101000101111100011/OSZICAR,1,197,0,7,"rms(c) shows no clear downward macro-trend, oscillating between 0.9-3.7 without sustained decrease, indicating stagnation and divergence despite some dE oscillations",Kill,75,6.891643286,2,,
vasp-data-files/111110000100111010101010/OSZICAR,1,141,0,7,"rms(c) shows no clear downward trend after step 30, stagnating around 0.13-0.23 with oscillations, while dE remains too large for convergence",Kill,50,3.82814455,1,,
vasp-data-files/101101000100001011000011/OSZICAR,1,168,0,8,"rms(c) shows no decreasing macro-trend, stagnating around 2.5-3.3 with no sustained downward progression, indicating divergence despite some dE oscillations",Kill,50,3.899588108,1,,
vasp-data-files/110110000011010000111100/OSZICAR,1,126,0,7,"rms(c) stagnates around 0.48-0.52 in final 10 steps with no clear downward trend, and dE shows persistent oscillations without consistent decrease",Kill,50,3.822647333,1,,
vasp-data-files/110110101000111110101001/OSZICAR,1,127,0,7,"rms(c) shows no consistent downward trend, oscillating between 0.1-5.2 without sustained decrease, indicating stagnation per Expert Tie-Breaker Rule",Kill,75,6.889638424,2,,
vasp-data-files/110111101101001000111100/OSZICAR,1,148,0,7,"rms(c) stagnates at 0.236-0.240 after step 46 showing no decreasing trend, dE remains oscillatory with no convergence to small values",Kill,50,3.900705814,1,,
vasp-data-files/101001010101111010100100/OSZICAR,1,138,0,7,"rms(c) stagnates at 0.12 after step 47 showing no further decrease, while dE remains oscillatory with no clear convergence trend",Kill,50,3.897524118,1,,
vasp-data-files/110110111001001000110010/OSZICAR,1,117,0,8,"rms(c) shows no consistent downward trend, stagnating around 1.4-1.7 after step 25 with persistent high dE oscillations indicating divergence",Kill,50,3.904424191,1,,
vasp-data-files/101011110000111110100101/OSZICAR,1,133,0,7,"rms(c) shows no consistent downward trend, stagnating around 1.3E+01 after initial drop, with dE remaining large and oscillatory",Kill,50,3.589622259,1,,
vasp-data-files/101010010100111110100100/OSZICAR,1,175,0,8,"rms(c) stagnates at 1.8-1.85 with no downward trend after step 20, and dE continues oscillating without approaching convergence thresholds",Kill,50,4.205309391,1,,
vasp-data-files/101001010111000011111111/OSZICAR,1,152,0,7,"rms(c) shows no clear downward macro-trend, stagnating around 0.4-1.1 after initial drop, with dE remaining large and oscillatory",Kill,50,3.285819769,1,,
vasp-data-files/110100001000111000000001/OSZICAR,1,121,0,8,"rms(c) shows no consistent downward trend, stagnating around 0.6-1.0 in later steps with recent spike to 1.05, while dE remains oscillatory with large jumps",Kill,100,11.11211801,3,,
vasp-data-files/101001010001000010111110/OSZICAR,1,161,0,7,"rms(c) stagnates around 0.7-0.9 after step 40 with no clear downward macro-trend, and dE remains oscillatory with large magnitudes",Kill,50,2.976448536,1,,
vasp-data-files/100110101010000101011001/OSZICAR,1,123,0,7,"rms(c) stagnates at ~0.15-0.16 after step 43 showing no decreasing trend despite dE becoming small, indicating charge density is not converging",Kill,50,3.282812119,1,,
vasp-data-files/111110000110110000100000/OSZICAR,1,96,0,8,"rms(c) stagnates at ~0.022-0.023 after step 40 showing no overall decreasing trend despite dE oscillations, indicating divergence according to Expert's Tie-Breaker Rule",Kill,50,4.819996595,1,,
vasp-data-files/100001110100101101010001/OSZICAR,1,196,0,8,"rms(c) stagnates around 1.5 with no clear downward trend after step 50, and dE continues oscillating significantly, indicating divergence according to Expert Tie-Breaker Rule",Kill,75,7.197705746,2,,
vasp-data-files/101100010110111010000011/OSZICAR,1,181,0,7,"rms(c) shows no clear downward macro-trend, stagnating around 4-6 after initial drop from 12, with dE remaining large and oscillatory",Kill,50,3.900512218,1,,
vasp-data-files/100000111001001001011111/OSZICAR,1,137,0,7,"rms(c) shows no clear downward macro-trend, oscillating between 0.2-1.0 without sustained decrease, indicating stagnation per Expert Tie-Breaker Rule",Kill,75,7.503101349,2,,
vasp-data-files/111110010100111110100100/OSZICAR,1,197,0,7,"rms(c) stagnates around 3.0-3.3 after step 41 showing no decreasing macro-trend despite dE oscillations, indicating divergence per Expert Tie-Breaker Rule",Kill,50,4.201720476,1,,
vasp-data-files/101100000000101101100001/OSZICAR,1,181,0,7,"rms(c) shows no clear downward trend, stagnating around 8.6-10.8 with oscillations, indicating divergence despite some dE reduction",Kill,50,3.895181417,1,,
vasp-data-files/111010001100100111110110/OSZICAR,1,153,0,7,"rms(c) shows no clear downward macro-trend, stagnating around 0.1-0.7 after initial improvement, while dE oscillates persistently without reaching convergence thresholds",Kill,100,12.34189916,3,,
vasp-data-files/100110101011000001111111/OSZICAR,1,167,0,8,"rms(c) shows no overall decreasing trend, stagnating around 1.0-1.2 after initial improvement, with dE remaining large and oscillatory",Kill,50,3.586169004,1,,
vasp-data-files/111001110011110001010100/OSZICAR,1,64,0,8,"rms(c) stagnates at ~0.02 after step 32 showing no further downward trend, combined with persistent dE oscillations indicating divergence",Kill,50,3.278657198,1,,
vasp-data-files/100110101011000101111111/OSZICAR,1,142,0,8,"rms(c) shows no consistent downward trend, stagnating around 1.0-1.8 after initial drop, with dE remaining large and oscillatory",Kill,50,3.894025326,1,,
vasp-data-files/111101001101010100100000/OSZICAR,1,136,0,7,"rms(c) stagnates around 0.2-0.29 after step 32 with no clear downward trend, and dE shows persistent oscillations without reaching convergence thresholds",Kill,50,3.279335976,1,,
vasp-data-files/111101011101111001001000/OSZICAR,1,167,0,8,"rms(c) shows no overall decreasing trend, stagnating around 9-10 after initial drop from 124, indicating divergence according to Expert Tie-Breaker Rule",Kill,50,3.584020138,1,,
vasp-data-files/100010111010001101011111/OSZICAR,1,145,0,8,"rms(c) stagnates at high values (21-25) with no overall decreasing trend despite dE oscillations, indicating divergence per Expert Tie-Breaker Rule",Kill,50,3.890812397,1,,
vasp-data-files/110101110010001101011001/OSZICAR,1,145,0,7,"rms(c) oscillates between 0.6-0.7 without clear downward trend after step 30, indicating stagnation despite some dE fluctuations",Kill,75,6.887105227,2,,
vasp-data-files/101001100101000010111111/OSZICAR,1,142,0,7,"rms(c) stagnates at high values (1.5-2.3) after step 60 with no clear downward macro-trend, indicating divergence despite some dE oscillations",Kill,125,15.63729262,4,,
vasp-data-files/101001010101111110100100/OSZICAR,1,79,0,7,"rms(c) shows no clear downward macro-trend, stagnating around 0.2-0.6 after initial improvement, with dE remaining too high and oscillatory",Kill,50,4.505526066,1,,
vasp-data-files/110100110011001101111001/OSZICAR,1,136,0,7,"rms(c) stagnates at ~0.10 after step 30 showing no decreasing trend, dE oscillates without reaching convergence threshold, consistent with divergence pattern",Kill,50,3.586913347,1,,
vasp-data-files/101011110001111111100100/OSZICAR,1,196,0,7,"rms(c) shows no consistent downward trend, stagnating around 9-11 after initial improvement, with dE remaining high and oscillating",Kill,50,2.967838049,1,,
vasp-data-files/111110001100010000100010/OSZICAR,1,181,0,7,"rms(c) shows no clear downward trend, stagnating around 0.9-1.5 after initial drop, with dE oscillations persisting at high magnitude",Kill,50,2.968978167,1,,
vasp-data-files/111100000111000001010110/OSZICAR,1,164,0,8,"rms(c) shows no consistent downward trend, stagnating around 1.5-2.5 with final increase to 1.84, while dE exhibits large persistent oscillations indicating divergence",Kill,50,3.278496504,1,,
vasp-data-files/100111100010001100011001/OSZICAR,1,130,0,7,"rms(c) stagnates around 0.17-0.19 in final 10 steps with no clear downward trend, and dE shows persistent oscillations without reaching convergence thresholds",Kill,50,3.687051535,1,,
vasp-data-files/101111100110001111111101/OSZICAR,1,171,0,8,"rms(c) stagnates at high values (9.4-15.9) with no clear downward trend after step 30, and dE shows persistent large oscillations, indicating divergence according to Expert Tie-Breaker Rule",Kill,50,4.508134127,1,,
vasp-data-files/111110000001011110100000/OSZICAR,1,113,0,7,"rms(c) stagnates at ~0.107 after step 39 showing no decreasing trend despite dE oscillations, indicating divergence per Expert Tie-Breaker Rule",Kill,50,3.476920605,1,,
vasp-data-files/101110000101000001101111/OSZICAR,1,142,0,7,"rms(c) stagnates around 0.45 after step 35 with no clear downward trend, and dE shows persistent oscillations without reaching convergence thresholds",Kill,50,2.970307589,1,,
vasp-data-files/101111010101010001101100/OSZICAR,1,74,0,7,"rms(c) shows no clear downward trend in later steps (oscillates between 0.7E-01 and 0.126E+00 from step 25-50) and dE remains oscillatory, indicating stagnation per Expert Tie-Breaker Rule",Kill,50,5.119684696,1,,
vasp-data-files/111110000100111010100000/OSZICAR,1,108,0,7,"rms(c) shows no consistent downward trend after step 33, stagnating around 0.37-0.48 with recent increase to 0.72, indicating divergence despite some dE improvement",Kill,50,3.687208176,1,,
vasp-data-files/101100010101110001100100/OSZICAR,1,198,0,8,"rms(c) shows no consistent downward trend, stagnating around 2.5-2.7 after step 33 with persistent high oscillations, indicating divergence according to Expert Tie-Breaker Rule",Kill,50,3.326062679,1,,
vasp-data-files/100001010000011010111110/OSZICAR,1,113,0,7,"rms(c) shows no consistent downward trend, stagnating around 1.0-2.0 after step 30 with recent values at 1.56-1.97, indicating divergence according to Expert Tie-Breaker Rule despite some dE oscillation",Kill,75,8.727361679,2,,
vasp-data-files/101110000100001010011000/OSZICAR,1,185,0,8,"rms(c) shows no consistent downward trend, stagnating around 9-11 after initial decrease, with dE remaining too large for convergence",Kill,50,3.889399529,1,,
vasp-data-files/101011010101111010100110/OSZICAR,1,134,0,7,"rms(c) shows no clear downward macro-trend, stagnating around 0.45-0.92 after step 27 with recent increase to 0.88-0.92, indicating divergence despite some dE oscillations",Kill,50,4.195950747,1,,
vasp-data-files/100011010111111010000110/OSZICAR,1,195,0,7,"rms(c) stagnates around 0.6-1.2 after step 30 with no clear downward macro-trend, and dE oscillations persist without significant damping, indicating divergence per Expert Tie-Breaker Rule",Kill,75,8.339309454,2,,
vasp-data-files/101001010100111110100000/OSZICAR,1,152,0,8,"rms(c) shows no consistent downward trend, stagnating around 1.7-2.2 with final increase to 2.25, indicating divergence according to Expert Tie-Breaker Rule",Kill,50,3.269002438,1,,
vasp-data-files/111101010101111011011000/OSZICAR,1,165,0,8,"rms(c) stagnates at high values (17-21) with no overall decreasing trend despite dE oscillations, matching divergence pattern from Case Study 3",Kill,50,3.585273743,1,,
vasp-data-files/111110000101001100101010/OSZICAR,1,153,0,7,"rms(c) shows no consistent downward trend, stagnating around 6.4 after initial fluctuations, indicating divergence despite some dE oscillations",Kill,50,2.966008425,1,,
