filepath,label,num_steps,final_dE
vasp-data-files/110110001001000011111111/OSZICAR,0,200,0.0153829
vasp-data-files/110110001010000111111001/OSZICAR,0,200,-0.00786306
vasp-data-files/110110001111010100100000/OSZICAR,0,200,0.0263253
vasp-data-files/110110011110111000000110/OSZICAR,0,200,0.0252348
vasp-data-files/110110100000011000100100/OSZICAR,1,105,0.0269877
vasp-data-files/110110100100000100110100/OSZICAR,1,110,0.0281418
vasp-data-files/110110100100001100111100/OSZICAR,1,127,0.0211258
vasp-data-files/110110100101001100111100/OSZICAR,1,136,0.0251301
vasp-data-files/110110101000001110101011/OSZICAR,1,175,0.0249772
vasp-data-files/110110101000101111100011/OSZICAR,1,197,0.0239404
vasp-data-files/110110101000111110101001/OSZICAR,1,127,-0.0257354
vasp-data-files/110110101001100101011011/OSZICAR,1,110,0.0242374
vasp-data-files/110110101010000001111000/OSZICAR,1,156,0.0241396
vasp-data-files/110110101010110000110001/OSZICAR,0,200,-0.0114986
vasp-data-files/110110101100001000111110/OSZICAR,0,200,0.0103592
vasp-data-files/110110101111001101111100/OSZICAR,0,200,0.0250014
vasp-data-files/110110111001001000110010/OSZICAR,1,117,0.027685
vasp-data-files/110111001001101100101100/OSZICAR,0,200,0.0269931
vasp-data-files/110111001100011100101000/OSZICAR,0,200,-0.0135426
vasp-data-files/110111001100110110010101/OSZICAR,1,172,0.0275664
vasp-data-files/110111100001000100111111/OSZICAR,1,160,0.0263216
vasp-data-files/110111101101001000111100/OSZICAR,1,148,0.0301284
vasp-data-files/111000011100111110100100/OSZICAR,1,146,0.0234527
vasp-data-files/111000011111001011010011/OSZICAR,0,200,-0.0262238
