filepath,label,num_steps,final_dE
vasp-data-files/111100001101111010100000/OSZICAR,0,200,-0.0240678
vasp-data-files/111100010101111011110101/OSZICAR,0,200,-0.0253415
vasp-data-files/111100011101110000010101/OSZICAR,0,200,0.0349552
vasp-data-files/111100011110000110000001/OSZICAR,0,200,0.0455634
vasp-data-files/111100100000110110111001/OSZICAR,1,157,-0.00170209
vasp-data-files/111100100000110111110001/OSZICAR,1,106,0.0262917
vasp-data-files/111100110011000100101100/OSZICAR,0,200,0.0218112
vasp-data-files/111100110101110000101000/OSZICAR,0,200,-0.0529373
vasp-data-files/111100111100111110010000/OSZICAR,0,200,-0.0223695
vasp-data-files/111101000001001010110010/OSZICAR,1,121,0.0191732
vasp-data-files/111101000001110000101000/OSZICAR,0,200,0.0213127
vasp-data-files/111101000101010010110000/OSZICAR,0,200,0.0245899
vasp-data-files/111101000101011101110000/OSZICAR,0,200,0.0256345
vasp-data-files/111101000101110000101100/OSZICAR,1,135,0.0464995
vasp-data-files/111101000101111111100100/OSZICAR,0,200,0.0265291
vasp-data-files/111101001100111110100000/OSZICAR,0,200,0.0288997
vasp-data-files/111101001101010100100000/OSZICAR,1,136,0.0284417
vasp-data-files/111101001101111100100000/OSZICAR,1,135,0.0260704
vasp-data-files/111101010100111110110000/OSZICAR,0,200,-0.0304344
vasp-data-files/111101010101111011011000/OSZICAR,1,165,0.0274026
vasp-data-files/111101010111011110011110/OSZICAR,1,109,0.0610116
vasp-data-files/111101011100111111000011/OSZICAR,0,200,0.0250665
vasp-data-files/111101011101000110100110/OSZICAR,0,200,-0.0398753
vasp-data-files/111101011101111000001110/OSZICAR,0,200,-0.0293258
vasp-data-files/111101011101111001001000/OSZICAR,1,167,0.0550761
vasp-data-files/111101111011110011111000/OSZICAR,1,194,0.0281891
vasp-data-files/111110000000010000110110/OSZICAR,1,142,0.0239063
vasp-data-files/111110000000111000100100/OSZICAR,0,200,-0.0487119
vasp-data-files/111110000000111100100000/OSZICAR,1,155,-0.0454473
vasp-data-files/111110000001000000111110/OSZICAR,0,200,0.0312076
vasp-data-files/111110000001011110100000/OSZICAR,1,113,0.0243194
vasp-data-files/111110000100000000111110/OSZICAR,1,110,0.0232422
vasp-data-files/111110000100010000011110/OSZICAR,1,116,-0.0552353
vasp-data-files/111110000100010000111110/OSZICAR,0,200,-0.0580772
vasp-data-files/111110000100010010111110/OSZICAR,1,155,0.0257965
vasp-data-files/111110000100110000100000/OSZICAR,0,200,-0.0482441
vasp-data-files/111110000100111010100000/OSZICAR,1,108,0.0248018
vasp-data-files/111110000100111010101010/OSZICAR,1,141,-0.0124241
vasp-data-files/111110000101001100101010/OSZICAR,1,153,0.0255432
vasp-data-files/111110000101010000100000/OSZICAR,0,200,-0.00955906
vasp-data-files/111110000101010010100001/OSZICAR,1,110,0.0506484
vasp-data-files/111110000101010010101110/OSZICAR,0,200,0.0284251
vasp-data-files/111110000101011000101000/OSZICAR,1,116,0.0257926
vasp-data-files/111110000101110010010000/OSZICAR,0,200,0.0125524
vasp-data-files/111110000111011010110110/OSZICAR,0,200,0.0138084
vasp-data-files/111110001001010010110001/OSZICAR,1,162,-0.0367715
vasp-data-files/111110001010000110111001/OSZICAR,0,200,0.0344078
vasp-data-files/111110001011100010101001/OSZICAR,0,200,-0.0156056
vasp-data-files/111110001100010000100010/OSZICAR,1,181,0.0265694
vasp-data-files/111110001100010000101110/OSZICAR,1,116,0.0259498
vasp-data-files/111110001100010000111110/OSZICAR,1,191,0.0248864
vasp-data-files/111110001100010010111110/OSZICAR,0,200,-0.0215017
vasp-data-files/111110001100010010111111/OSZICAR,0,200,-0.00886011
vasp-data-files/111110001100110001101110/OSZICAR,1,133,0.0250689
vasp-data-files/111110001100111010100000/OSZICAR,1,182,0.0259263
vasp-data-files/111110001100111010101000/OSZICAR,0,200,0.0259184
vasp-data-files/111110001101110001100000/OSZICAR,0,200,-0.0175952
vasp-data-files/111110001111111010110001/OSZICAR,0,200,0.0259878
vasp-data-files/111110010001110000111000/OSZICAR,1,156,0.0283287
vasp-data-files/111110010100011100110010/OSZICAR,0,200,0.0306713
vasp-data-files/111110010100111110100100/OSZICAR,1,197,0.0816042
vasp-data-files/111110010101110000111100/OSZICAR,1,177,0.0253071
vasp-data-files/111110100000001100110001/OSZICAR,0,200,0.0281429
vasp-data-files/111110100100111000100000/OSZICAR,1,103,0.0251053
vasp-data-files/111110101111000011110101/OSZICAR,0,200,0.0257791
vasp-data-files/111110110000110100111100/OSZICAR,0,200,0.0231427
vasp-data-files/111110110101000101010101/OSZICAR,0,200,-0.00086605
vasp-data-files/111110110101110100110100/OSZICAR,0,200,0.0562566
vasp-data-files/111110111011100101101101/OSZICAR,0,200,-0.0340102
vasp-data-files/111111000001000000111010/OSZICAR,1,125,0.0256384
vasp-data-files/111111000100011100100000/OSZICAR,1,132,0.0264861
vasp-data-files/111111000101000100110110/OSZICAR,1,131,0.0249542
vasp-data-files/111111000110000110111010/OSZICAR,0,200,0.042485
vasp-data-files/111111001000011110110001/OSZICAR,1,181,0.0242559
vasp-data-files/111111010001011000100000/OSZICAR,1,110,0.0253256
vasp-data-files/111111010101110010100010/OSZICAR,1,140,0.027706
vasp-data-files/111111011101110001001010/OSZICAR,1,118,0.0259728
vasp-data-files/111111111011011111101000/OSZICAR,0,200,-0.0317272
